xflr5 v6.47

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  10.000000
Beta  = ,   0.000�
Phi   = ,   0.000�
Ctrl  = ,   0.000
CL    = ,   1.216729
Cy    = ,   0.000000
Cd=,   0.051050,ICd=,    0.051050,PCd=,    0.000000
Cl   = ,4.25838e-16
Cm   =,    -1.55736
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,   10.816701, YCP=,   -0.000000, ZCP=,    1.021642 
XNP=,    0.000000
Bending =, 275043.031289

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -34.9003,   3.6043, -8.257, 0.412250, 0.000000, 0.059820,-2.591320, 0.000014, 0.0000, 0.0000, 0.2466, 0.0000
  -34.6619,   3.6613, -7.013, 0.685524, 0.000000, 0.084320,-3.781817,-0.033490, 0.0000, 0.0000, 0.2913, 2.6683
  -34.1867,   3.7749, -5.815, 0.925208, 0.000000, 0.094200,-4.710091,-0.041339, 0.0000, 0.0000, 0.2876,34.8760
  -33.4780,   3.9444, -4.736, 1.104337, 0.000000, 0.091460,-5.323352,-0.061393, 0.0000, 0.0000, 0.2985,175.4987
  -32.5406,   4.1686, -3.830, 1.225074, 0.000000, 0.081976,-5.503652,-0.078765, 0.0000, 0.0000, 0.3071,573.8634
  -31.3809,   4.4459, -3.130, 1.298445, 0.000000, 0.070964,-5.339182,-0.090534, 0.0000, 0.0000, 0.3124,1459.0847
  -30.0069,   4.7744, -2.639, 1.337369, 0.000000, 0.061581,-4.956481,-0.097621, 0.0000, 0.0000, 0.3156,3142.9139
  -28.4278,   5.1520, -2.326, 1.352701, 0.000000, 0.054883,-4.460802,-0.101624, 0.0000, 0.0000, 0.3177,6018.6337
  -26.6546,   5.5761, -2.151, 1.352139, 0.000000, 0.050715,-3.924322,-0.103770, 0.0000, 0.0000, 0.3194,10556.8645
  -24.6993,   6.0436, -2.076, 1.340662, 0.000000, 0.048505,-3.391284,-0.104816, 0.0000, 0.0000, 0.3209,17297.7209
  -22.5753,   6.5516, -2.070, 1.321342, 0.000000, 0.047670,-2.886691,-0.105202, 0.0000, 0.0000, 0.3224,26838.2902
  -20.2971,   7.0963, -2.114, 1.295980, 0.000000, 0.047727,-2.423208,-0.105185, 0.0000, 0.0000, 0.3240,39814.6182
  -17.8802,   7.6743, -2.191, 1.265551, 0.000000, 0.048290,-2.006028,-0.104918, 0.0000, 0.0000, 0.3259,56877.8154
  -15.3412,   8.2815, -2.289, 1.230457, 0.000000, 0.049037,-1.635919,-0.104524, 0.0000, 0.0000, 0.3281,78664.4138
  -12.6974,   8.9137, -2.396, 1.190665, 0.000000, 0.049651,-1.311374,-0.104149, 0.0000, 0.0000, 0.3308,105761.6055
   -9.9668,   9.5666, -2.496, 1.145765, 0.000000, 0.049742,-1.029846,-0.104059, 0.0000, 0.0000, 0.3344,138668.4513
   -7.1682,  10.2359, -2.563, 1.094977, 0.000000, 0.048725,-0.788770,-0.104885, 0.0000, 0.0000, 0.3397,177754.5236
   -4.3206,  10.9168, -2.537, 1.036970, 0.000000, 0.045444,-0.586648,-0.108233, 0.0000, 0.0000, 0.3489,223217.7937
   -1.4435,  11.6048, -2.239, 0.966575, 0.000000, 0.036244,-0.425486,-0.119681, 0.0000, 0.0000, 0.3698,275043.0313
    1.4435,  11.6048, -2.239, 0.966575, 0.000000, 0.036244,-0.425486,-0.119681, 0.0000, 0.0000, 0.3698,275043.0313
    4.3206,  10.9168, -2.537, 1.036970, 0.000000, 0.045444,-0.586648,-0.108233, 0.0000, 0.0000, 0.3489,223217.7937
    7.1682,  10.2359, -2.563, 1.094977, 0.000000, 0.048725,-0.788770,-0.104885, 0.0000, 0.0000, 0.3397,177754.5236
    9.9668,   9.5666, -2.496, 1.145765, 0.000000, 0.049742,-1.029846,-0.104059, 0.0000, 0.0000, 0.3344,138668.4513
   12.6974,   8.9137, -2.396, 1.190665, 0.000000, 0.049651,-1.311374,-0.104149, 0.0000, 0.0000, 0.3308,105761.6055
   15.3412,   8.2815, -2.289, 1.230457, 0.000000, 0.049037,-1.635919,-0.104524, 0.0000, 0.0000, 0.3281,78664.4138
   17.8802,   7.6743, -2.191, 1.265551, 0.000000, 0.048290,-2.006028,-0.104918, 0.0000, 0.0000, 0.3259,56877.8154
   20.2971,   7.0963, -2.114, 1.295980, 0.000000, 0.047727,-2.423208,-0.105185, 0.0000, 0.0000, 0.3240,39814.6182
   22.5753,   6.5516, -2.070, 1.321342, 0.000000, 0.047670,-2.886691,-0.105202, 0.0000, 0.0000, 0.3224,26838.2902
   24.6993,   6.0436, -2.076, 1.340662, 0.000000, 0.048505,-3.391284,-0.104816, 0.0000, 0.0000, 0.3209,17297.7209
   26.6546,   5.5761, -2.151, 1.352139, 0.000000, 0.050715,-3.924322,-0.103770, 0.0000, 0.0000, 0.3194,10556.8645
   28.4278,   5.1520, -2.326, 1.352701, 0.000000, 0.054883,-4.460802,-0.101624, 0.0000, 0.0000, 0.3177,6018.6337
   30.0069,   4.7744, -2.639, 1.337369, 0.000000, 0.061581,-4.956481,-0.097621, 0.0000, 0.0000, 0.3156,3142.9139
   31.3809,   4.4459, -3.130, 1.298445, 0.000000, 0.070964,-5.339182,-0.090534, 0.0000, 0.0000, 0.3124,1459.0847
   32.5406,   4.1686, -3.830, 1.225074, 0.000000, 0.081976,-5.503652,-0.078765, 0.0000, 0.0000, 0.3071,573.8634
   33.4780,   3.9444, -4.736, 1.104337, 0.000000, 0.091460,-5.323352,-0.061393, 0.0000, 0.0000, 0.2985,175.4987
   34.1867,   3.7749, -5.815, 0.925208, 0.000000, 0.094200,-4.710091,-0.041339, 0.0000, 0.0000, 0.2876,34.8760
   34.6619,   3.6613, -7.013, 0.685524, 0.000000, 0.084320,-3.781817,-0.033490, 0.0000, 0.0000, 0.2913, 2.6683
   34.9003,   3.6043, -8.257, 0.412250, 0.000000, 0.059820,-2.591320, 0.000014, 0.0000, 0.0000, 0.2466, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   2.173e+01,  -3.488e+01,   1.282e+00,      -0.128,      -0.072,      -0.989,   6.309e-03,     -1.2850
  14,   2.162e+01,  -3.488e+01,   1.294e+00,      -0.109,      -0.067,      -0.992,   1.851e-02,     -1.3365
  15,   2.142e+01,  -3.488e+01,   1.301e+00,       0.009,      -0.032,      -0.999,   2.947e-02,     -1.2058
  16,   2.114e+01,  -3.488e+01,   1.288e+00,       0.073,      -0.012,      -0.997,   3.894e-02,     -0.9141
  17,   2.078e+01,  -3.488e+01,   1.255e+00,       0.113,       0.001,      -0.994,   4.626e-02,     -0.6096
  18,   2.038e+01,  -3.488e+01,   1.207e+00,       0.120,       0.004,      -0.993,   5.079e-02,     -0.3956
  19,   1.995e+01,  -3.488e+01,   1.160e+00,       0.099,      -0.005,      -0.995,   5.218e-02,     -0.2700
  20,   1.952e+01,  -3.488e+01,   1.128e+00,       0.049,      -0.026,      -0.998,   5.046e-02,     -0.1896
  21,   1.912e+01,  -3.488e+01,   1.121e+00,      -0.012,      -0.053,      -0.999,   4.597e-02,     -0.1201
  22,   1.876e+01,  -3.488e+01,   1.135e+00,      -0.072,      -0.080,      -0.994,   3.899e-02,     -0.0405
  23,   1.848e+01,  -3.488e+01,   1.164e+00,      -0.141,      -0.114,      -0.983,   2.987e-02,      0.0897
  24,   1.828e+01,  -3.488e+01,   1.205e+00,      -0.285,      -0.185,      -0.941,   1.944e-02,      0.3390
  25,   1.817e+01,  -3.488e+01,   1.253e+00,      -0.656,      -0.366,      -0.660,   9.295e-03,      0.3281
  26,   1.817e+01,  -3.488e+01,   1.326e+00,      -0.797,      -0.398,       0.454,   1.425e-02,     -1.5112
  27,   1.828e+01,  -3.487e+01,   1.418e+00,      -0.484,      -0.225,       0.846,   2.197e-02,     -1.6793
  28,   1.848e+01,  -3.487e+01,   1.505e+00,      -0.320,      -0.139,       0.937,   3.161e-02,     -1.1523
  29,   1.876e+01,  -3.487e+01,   1.582e+00,      -0.206,      -0.083,       0.975,   3.993e-02,     -0.9414
  30,   1.912e+01,  -3.486e+01,   1.636e+00,      -0.101,      -0.033,       0.994,   4.623e-02,     -0.8285
  31,   1.952e+01,  -3.486e+01,   1.655e+00,       0.003,       0.013,       1.000,   5.032e-02,     -0.7210
  32,   1.995e+01,  -3.486e+01,   1.633e+00,       0.097,       0.052,       0.994,   5.206e-02,     -0.6119
  33,   2.038e+01,  -3.487e+01,   1.577e+00,       0.163,       0.077,       0.984,   5.105e-02,     -0.5669
  34,   2.078e+01,  -3.487e+01,   1.502e+00,       0.204,       0.092,       0.975,   4.696e-02,     -0.6641
  35,   2.114e+01,  -3.487e+01,   1.425e+00,       0.222,       0.098,       0.970,   3.989e-02,     -0.9428
  36,   2.142e+01,  -3.487e+01,   1.359e+00,       0.226,       0.099,       0.969,   3.031e-02,     -1.3181
  37,   2.162e+01,  -3.488e+01,   1.311e+00,       0.240,       0.103,       0.965,   1.899e-02,     -1.4752
  38,   2.173e+01,  -3.488e+01,   1.285e+00,       0.243,       0.104,       0.964,   6.462e-03,     -1.5016
Strip 2
  39,   2.166e+01,  -3.464e+01,   1.274e+00,      -0.128,      -0.072,      -0.989,   1.918e-02,     -0.5258
  40,   2.155e+01,  -3.464e+01,   1.286e+00,      -0.109,      -0.067,      -0.992,   5.629e-02,     -0.5104
  41,   2.135e+01,  -3.464e+01,   1.293e+00,       0.009,      -0.032,      -0.999,   8.960e-02,     -0.4419
  42,   2.106e+01,  -3.464e+01,   1.280e+00,       0.073,      -0.012,      -0.997,   1.184e-01,     -0.3460
  43,   2.070e+01,  -3.464e+01,   1.246e+00,       0.113,       0.001,      -0.994,   1.407e-01,     -0.2491
  44,   2.029e+01,  -3.464e+01,   1.198e+00,       0.120,       0.004,      -0.993,   1.544e-01,     -0.1885
  45,   1.985e+01,  -3.464e+01,   1.150e+00,       0.099,      -0.005,      -0.995,   1.586e-01,     -0.1552
  46,   1.942e+01,  -3.464e+01,   1.117e+00,       0.049,      -0.026,      -0.998,   1.534e-01,     -0.1176
  47,   1.901e+01,  -3.464e+01,   1.109e+00,      -0.012,      -0.053,      -0.999,   1.398e-01,     -0.0508
  48,   1.865e+01,  -3.464e+01,   1.124e+00,      -0.072,      -0.080,      -0.994,   1.185e-01,      0.0585
  49,   1.836e+01,  -3.464e+01,   1.153e+00,      -0.141,      -0.114,      -0.983,   9.082e-02,      0.2429
  50,   1.815e+01,  -3.464e+01,   1.195e+00,      -0.285,      -0.185,      -0.941,   5.910e-02,      0.5181
  51,   1.805e+01,  -3.464e+01,   1.244e+00,      -0.656,      -0.366,      -0.660,   2.827e-02,      0.2476
  52,   1.805e+01,  -3.464e+01,   1.318e+00,      -0.797,      -0.398,       0.453,   4.331e-02,     -2.0878
  53,   1.815e+01,  -3.463e+01,   1.412e+00,      -0.484,      -0.225,       0.846,   6.678e-02,     -2.1148
  54,   1.836e+01,  -3.463e+01,   1.500e+00,      -0.320,      -0.139,       0.937,   9.609e-02,     -1.4340
  55,   1.865e+01,  -3.463e+01,   1.578e+00,      -0.206,      -0.083,       0.975,   1.214e-01,     -1.1486
  56,   1.901e+01,  -3.463e+01,   1.633e+00,      -0.101,      -0.033,       0.994,   1.405e-01,     -0.9878
  57,   1.942e+01,  -3.462e+01,   1.652e+00,       0.003,       0.013,       1.000,   1.530e-01,     -0.8391
  58,   1.985e+01,  -3.463e+01,   1.630e+00,       0.097,       0.052,       0.994,   1.583e-01,     -0.6774
  59,   2.029e+01,  -3.463e+01,   1.573e+00,       0.163,       0.077,       0.984,   1.552e-01,     -0.5572
  60,   2.070e+01,  -3.463e+01,   1.497e+00,       0.204,       0.092,       0.975,   1.428e-01,     -0.5286
  61,   2.106e+01,  -3.463e+01,   1.418e+00,       0.222,       0.098,       0.970,   1.213e-01,     -0.5922
  62,   2.135e+01,  -3.464e+01,   1.351e+00,       0.226,       0.099,       0.969,   9.216e-02,     -0.6965
  63,   2.155e+01,  -3.464e+01,   1.303e+00,       0.240,       0.103,       0.965,   5.775e-02,     -0.6793
  64,   2.166e+01,  -3.464e+01,   1.277e+00,       0.243,       0.104,       0.964,   1.965e-02,     -0.6347
