xflr5 v6.47

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,   0.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.384561
Cy    = ,   0.000000
Cd=,   0.005172,ICd=,    0.005172,PCd=,    0.000000
Cl   = ,-5.09131e-16
Cm   =,   -0.548252
ICn=,    0.000000,PCn=,    0.000000
XCP=,   12.149461, YCP=,    0.000000, ZCP=,    1.386644 
XNP=,    0.000000
Bending =, 87743.858530

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -34.9003,   3.6043, -3.894, 0.144920, 0.000000, 0.009865,-0.939486,-0.043073, 0.0000, 0.0000, 0.5018, 0.0000
  -34.6619,   3.6613, -2.994, 0.236901, 0.000000, 0.012393,-1.319396,-0.066807, 0.0000, 0.0000, 0.5243, 0.9380
  -34.1867,   3.7749, -2.215, 0.311640, 0.000000, 0.012056,-1.580073,-0.078495, 0.0000, 0.0000, 0.5076,12.0998
  -33.4780,   3.9444, -1.638, 0.363628, 0.000000, 0.010401,-1.743732,-0.088898, 0.0000, 0.0000, 0.4992,59.9331
  -32.5406,   4.1686, -1.237, 0.396806, 0.000000, 0.008568,-1.775697,-0.095582, 0.0000, 0.0000, 0.4939,193.1269
  -31.3809,   4.4459, -0.971, 0.416230, 0.000000, 0.007057,-1.709212,-0.099414, 0.0000, 0.0000, 0.4910,485.0012
  -30.0069,   4.7744, -0.804, 0.426164, 0.000000, 0.005980,-1.583403,-0.101514, 0.0000, 0.0000, 0.4899,1034.3744
  -28.4278,   5.1520, -0.705, 0.429691, 0.000000, 0.005285,-1.428167,-0.102639, 0.0000, 0.0000, 0.4905,1965.4616
  -26.6546,   5.5761, -0.652, 0.428872, 0.000000, 0.004880,-1.263365,-0.103224, 0.0000, 0.0000, 0.4924,3426.8128
  -24.6993,   6.0436, -0.631, 0.425023, 0.000000, 0.004682,-1.101057,-0.103498, 0.0000, 0.0000, 0.4955,5589.0387
  -22.5753,   6.5516, -0.632, 0.418958, 0.000000, 0.004623,-0.948053,-0.103586, 0.0000, 0.0000, 0.4996,8641.0109
  -20.2971,   7.0963, -0.648, 0.411154, 0.000000, 0.004653,-0.807779,-0.103558, 0.0000, 0.0000, 0.5047,12784.3066
  -17.8802,   7.6743, -0.675, 0.401866, 0.000000, 0.004737,-0.681573,-0.103451, 0.0000, 0.0000, 0.5108,18225.7789
  -15.3412,   8.2815, -0.709, 0.391187, 0.000000, 0.004844,-0.569554,-0.103290, 0.0000, 0.0000, 0.5182,25168.2906
  -12.6974,   8.9137, -0.747, 0.379080, 0.000000, 0.004947,-0.471196,-0.103098, 0.0000, 0.0000, 0.5271,33799.7974
   -9.9668,   9.5666, -0.785, 0.365383, 0.000000, 0.005009,-0.385657,-0.102912, 0.0000, 0.0000, 0.5380,44281.0915
   -7.1682,  10.2359, -0.814, 0.349794, 0.000000, 0.004975,-0.312048,-0.102810, 0.0000, 0.0000, 0.5519,56732.6033
   -4.3206,  10.9168, -0.813, 0.331806, 0.000000, 0.004715,-0.249623,-0.102988, 0.0000, 0.0000, 0.5708,71220.7071
   -1.4435,  11.6048, -0.693, 0.310446, 0.000000, 0.003766,-0.198352,-0.104013, 0.0000, 0.0000, 0.5989,87743.8585
    1.4435,  11.6048, -0.693, 0.310446, 0.000000, 0.003766,-0.198352,-0.104013, 0.0000, 0.0000, 0.5989,87743.8585
    4.3206,  10.9168, -0.813, 0.331806, 0.000000, 0.004715,-0.249623,-0.102988, 0.0000, 0.0000, 0.5708,71220.7071
    7.1682,  10.2359, -0.814, 0.349794, 0.000000, 0.004975,-0.312048,-0.102810, 0.0000, 0.0000, 0.5519,56732.6033
    9.9668,   9.5666, -0.785, 0.365383, 0.000000, 0.005009,-0.385657,-0.102912, 0.0000, 0.0000, 0.5380,44281.0915
   12.6974,   8.9137, -0.747, 0.379080, 0.000000, 0.004947,-0.471196,-0.103098, 0.0000, 0.0000, 0.5271,33799.7974
   15.3412,   8.2815, -0.709, 0.391187, 0.000000, 0.004844,-0.569554,-0.103290, 0.0000, 0.0000, 0.5182,25168.2906
   17.8802,   7.6743, -0.675, 0.401866, 0.000000, 0.004737,-0.681573,-0.103451, 0.0000, 0.0000, 0.5108,18225.7789
   20.2971,   7.0963, -0.648, 0.411154, 0.000000, 0.004653,-0.807779,-0.103558, 0.0000, 0.0000, 0.5047,12784.3066
   22.5753,   6.5516, -0.632, 0.418958, 0.000000, 0.004623,-0.948053,-0.103586, 0.0000, 0.0000, 0.4996,8641.0109
   24.6993,   6.0436, -0.631, 0.425023, 0.000000, 0.004682,-1.101057,-0.103498, 0.0000, 0.0000, 0.4955,5589.0387
   26.6546,   5.5761, -0.652, 0.428872, 0.000000, 0.004880,-1.263365,-0.103224, 0.0000, 0.0000, 0.4924,3426.8128
   28.4278,   5.1520, -0.705, 0.429691, 0.000000, 0.005285,-1.428167,-0.102639, 0.0000, 0.0000, 0.4905,1965.4616
   30.0069,   4.7744, -0.804, 0.426164, 0.000000, 0.005980,-1.583403,-0.101514, 0.0000, 0.0000, 0.4899,1034.3744
   31.3809,   4.4459, -0.971, 0.416230, 0.000000, 0.007057,-1.709212,-0.099414, 0.0000, 0.0000, 0.4910,485.0012
   32.5406,   4.1686, -1.237, 0.396806, 0.000000, 0.008568,-1.775697,-0.095582, 0.0000, 0.0000, 0.4939,193.1269
   33.4780,   3.9444, -1.638, 0.363628, 0.000000, 0.010401,-1.743732,-0.088898, 0.0000, 0.0000, 0.4992,59.9331
   34.1867,   3.7749, -2.215, 0.311640, 0.000000, 0.012056,-1.580073,-0.078495, 0.0000, 0.0000, 0.5076,12.0998
   34.6619,   3.6613, -2.994, 0.236901, 0.000000, 0.012393,-1.319396,-0.066807, 0.0000, 0.0000, 0.5243, 0.9380
   34.9003,   3.6043, -3.894, 0.144920, 0.000000, 0.009865,-0.939486,-0.043073, 0.0000, 0.0000, 0.5018, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   2.173e+01,  -3.488e+01,   1.282e+00,      -0.128,      -0.072,      -0.989,   6.309e-03,      0.0480
  14,   2.162e+01,  -3.488e+01,   1.294e+00,      -0.109,      -0.067,      -0.992,   1.851e-02,      0.0512
  15,   2.142e+01,  -3.488e+01,   1.301e+00,       0.009,      -0.032,      -0.999,   2.947e-02,      0.0538
  16,   2.114e+01,  -3.488e+01,   1.288e+00,       0.073,      -0.012,      -0.997,   3.894e-02,      0.0379
  17,   2.078e+01,  -3.488e+01,   1.255e+00,       0.113,       0.001,      -0.994,   4.626e-02,      0.0194
  18,   2.038e+01,  -3.488e+01,   1.207e+00,       0.120,       0.004,      -0.993,   5.079e-02,     -0.0203
  19,   1.995e+01,  -3.488e+01,   1.160e+00,       0.099,      -0.005,      -0.995,   5.218e-02,     -0.0710
  20,   1.952e+01,  -3.488e+01,   1.128e+00,       0.049,      -0.026,      -0.998,   5.046e-02,     -0.1164
  21,   1.912e+01,  -3.488e+01,   1.121e+00,      -0.012,      -0.053,      -0.999,   4.597e-02,     -0.1411
  22,   1.876e+01,  -3.488e+01,   1.135e+00,      -0.072,      -0.080,      -0.994,   3.899e-02,     -0.1551
  23,   1.848e+01,  -3.488e+01,   1.164e+00,      -0.141,      -0.114,      -0.983,   2.987e-02,     -0.1848
  24,   1.828e+01,  -3.488e+01,   1.205e+00,      -0.285,      -0.185,      -0.941,   1.944e-02,     -0.2209
  25,   1.817e+01,  -3.488e+01,   1.253e+00,      -0.656,      -0.366,      -0.660,   9.295e-03,      0.1765
  26,   1.817e+01,  -3.488e+01,   1.326e+00,      -0.797,      -0.398,       0.454,   1.425e-02,      0.4226
  27,   1.828e+01,  -3.487e+01,   1.418e+00,      -0.484,      -0.225,       0.846,   2.197e-02,     -0.2370
  28,   1.848e+01,  -3.487e+01,   1.505e+00,      -0.320,      -0.139,       0.937,   3.161e-02,     -0.3397
  29,   1.876e+01,  -3.487e+01,   1.582e+00,      -0.206,      -0.083,       0.975,   3.993e-02,     -0.3688
  30,   1.912e+01,  -3.486e+01,   1.636e+00,      -0.101,      -0.033,       0.994,   4.623e-02,     -0.3786
  31,   1.952e+01,  -3.486e+01,   1.655e+00,       0.003,       0.013,       1.000,   5.032e-02,     -0.3541
  32,   1.995e+01,  -3.486e+01,   1.633e+00,       0.097,       0.052,       0.994,   5.206e-02,     -0.2861
  33,   2.038e+01,  -3.487e+01,   1.577e+00,       0.163,       0.077,       0.984,   5.105e-02,     -0.1994
  34,   2.078e+01,  -3.487e+01,   1.502e+00,       0.204,       0.092,       0.975,   4.696e-02,     -0.1285
  35,   2.114e+01,  -3.487e+01,   1.425e+00,       0.222,       0.098,       0.970,   3.989e-02,     -0.0998
  36,   2.142e+01,  -3.487e+01,   1.359e+00,       0.226,       0.099,       0.969,   3.031e-02,     -0.1208
  37,   2.162e+01,  -3.488e+01,   1.311e+00,       0.240,       0.103,       0.965,   1.899e-02,     -0.0928
  38,   2.173e+01,  -3.488e+01,   1.285e+00,       0.243,       0.104,       0.964,   6.462e-03,     -0.0512
Strip 2
  39,   2.166e+01,  -3.464e+01,   1.274e+00,      -0.128,      -0.072,      -0.989,   1.918e-02,      0.1477
  40,   2.155e+01,  -3.464e+01,   1.286e+00,      -0.109,      -0.067,      -0.992,   5.629e-02,      0.1850
  41,   2.135e+01,  -3.464e+01,   1.293e+00,       0.009,      -0.032,      -0.999,   8.960e-02,      0.2017
  42,   2.106e+01,  -3.464e+01,   1.280e+00,       0.073,      -0.012,      -0.997,   1.184e-01,      0.1531
  43,   2.070e+01,  -3.464e+01,   1.246e+00,       0.113,       0.001,      -0.994,   1.407e-01,      0.0924
  44,   2.029e+01,  -3.464e+01,   1.198e+00,       0.120,       0.004,      -0.993,   1.544e-01,      0.0132
  45,   1.985e+01,  -3.464e+01,   1.150e+00,       0.099,      -0.005,      -0.995,   1.586e-01,     -0.0731
  46,   1.942e+01,  -3.464e+01,   1.117e+00,       0.049,      -0.026,      -0.998,   1.534e-01,     -0.1448
  47,   1.901e+01,  -3.464e+01,   1.109e+00,      -0.012,      -0.053,      -0.999,   1.398e-01,     -0.1826
  48,   1.865e+01,  -3.464e+01,   1.124e+00,      -0.072,      -0.080,      -0.994,   1.185e-01,     -0.1994
  49,   1.836e+01,  -3.464e+01,   1.153e+00,      -0.141,      -0.114,      -0.983,   9.082e-02,     -0.2193
  50,   1.815e+01,  -3.464e+01,   1.195e+00,      -0.285,      -0.185,      -0.941,   5.910e-02,     -0.2143
  51,   1.805e+01,  -3.464e+01,   1.244e+00,      -0.656,      -0.366,      -0.660,   2.827e-02,      0.1944
  52,   1.805e+01,  -3.464e+01,   1.318e+00,      -0.797,      -0.398,       0.453,   4.331e-02,      0.5114
  53,   1.815e+01,  -3.463e+01,   1.412e+00,      -0.484,      -0.225,       0.846,   6.678e-02,     -0.2171
  54,   1.836e+01,  -3.463e+01,   1.500e+00,      -0.320,      -0.139,       0.937,   9.609e-02,     -0.3991
  55,   1.865e+01,  -3.463e+01,   1.578e+00,      -0.206,      -0.083,       0.975,   1.214e-01,     -0.4713
  56,   1.901e+01,  -3.463e+01,   1.633e+00,      -0.101,      -0.033,       0.994,   1.405e-01,     -0.4956
  57,   1.942e+01,  -3.462e+01,   1.652e+00,       0.003,       0.013,       1.000,   1.530e-01,     -0.4668
  58,   1.985e+01,  -3.463e+01,   1.630e+00,       0.097,       0.052,       0.994,   1.583e-01,     -0.3782
  59,   2.029e+01,  -3.463e+01,   1.573e+00,       0.163,       0.077,       0.984,   1.552e-01,     -0.2637
  60,   2.070e+01,  -3.463e+01,   1.497e+00,       0.204,       0.092,       0.975,   1.428e-01,     -0.1633
  61,   2.106e+01,  -3.463e+01,   1.418e+00,       0.222,       0.098,       0.970,   1.213e-01,     -0.0959
  62,   2.135e+01,  -3.464e+01,   1.351e+00,       0.226,       0.099,       0.969,   9.216e-02,     -0.0660
  63,   2.155e+01,  -3.464e+01,   1.303e+00,       0.240,       0.103,       0.965,   5.775e-02,      0.0079
  64,   2.166e+01,  -3.464e+01,   1.277e+00,       0.243,       0.104,       0.964,   1.965e-02,      0.0714
Strip 3
