xflr5 v6.47											
											
Plane Name											
T1-10.0 m/s-Panel-Inviscid											
QInf  =	10	m/s									
Alpha = 	10										
Beta  = 	   0.000°										
Phi   = 	   0.000°										
Ctrl  = 	0										
CL    = 	1.216729										
Cy    = 	0										
Cd=	0.05105	ICd=	0.05105	PCd=	0						
Cl   = 	4.26E-16										
Cm   =	-1.55736										
ICn=	0	PCn=	0								
XCP=	10.816701	 YCP=	0	 ZCP=	1.021642						
XNP=	0										
Bending =	275043.0313										
											
Main Wing											
  y-span	Chord	Ai	Cl	PCd	ICd	CmGeom	CmAirf@chord/4	XTrtop	XTrBot	XCP	BM
-34.9003	3.6043	-8.257	0.41225	0	0.05982	-2.59132	0.000014	0	0	0.2466	0
-34.6619	3.6613	-7.013	0.685524	0	0.08432	-3.781817	-0.03349	0	0	0.2913	2.6683
-34.1867	3.7749	-5.815	0.925208	0	0.0942	-4.710091	-0.041339	0	0	0.2876	34.876
-33.478	3.9444	-4.736	1.104337	0	0.09146	-5.323352	-0.061393	0	0	0.2985	175.4987
-32.5406	4.1686	-3.83	1.225074	0	0.081976	-5.503652	-0.078765	0	0	0.3071	573.8634
-31.3809	4.4459	-3.13	1.298445	0	0.070964	-5.339182	-0.090534	0	0	0.3124	1459.0847
-30.0069	4.7744	-2.639	1.337369	0	0.061581	-4.956481	-0.097621	0	0	0.3156	3142.9139
-28.4278	5.152	-2.326	1.352701	0	0.054883	-4.460802	-0.101624	0	0	0.3177	6018.6337
-26.6546	5.5761	-2.151	1.352139	0	0.050715	-3.924322	-0.10377	0	0	0.3194	10556.8645
-24.6993	6.0436	-2.076	1.340662	0	0.048505	-3.391284	-0.104816	0	0	0.3209	17297.7209
-22.5753	6.5516	-2.07	1.321342	0	0.04767	-2.886691	-0.105202	0	0	0.3224	26838.2902
-20.2971	7.0963	-2.114	1.29598	0	0.047727	-2.423208	-0.105185	0	0	0.324	39814.6182
-17.8802	7.6743	-2.191	1.265551	0	0.04829	-2.006028	-0.104918	0	0	0.3259	56877.8154
-15.3412	8.2815	-2.289	1.230457	0	0.049037	-1.635919	-0.104524	0	0	0.3281	78664.4138
-12.6974	8.9137	-2.396	1.190665	0	0.049651	-1.311374	-0.104149	0	0	0.3308	105761.6055
-9.9668	9.5666	-2.496	1.145765	0	0.049742	-1.029846	-0.104059	0	0	0.3344	138668.4513
-7.1682	10.2359	-2.563	1.094977	0	0.048725	-0.78877	-0.104885	0	0	0.3397	177754.5236
-4.3206	10.9168	-2.537	1.03697	0	0.045444	-0.586648	-0.108233	0	0	0.3489	223217.7937
-1.4435	11.6048	-2.239	0.966575	0	0.036244	-0.425486	-0.119681	0	0	0.3698	275043.0313
1.4435	11.6048	-2.239	0.966575	0	0.036244	-0.425486	-0.119681	0	0	0.3698	275043.0313
4.3206	10.9168	-2.537	1.03697	0	0.045444	-0.586648	-0.108233	0	0	0.3489	223217.7937
7.1682	10.2359	-2.563	1.094977	0	0.048725	-0.78877	-0.104885	0	0	0.3397	177754.5236
9.9668	9.5666	-2.496	1.145765	0	0.049742	-1.029846	-0.104059	0	0	0.3344	138668.4513
12.6974	8.9137	-2.396	1.190665	0	0.049651	-1.311374	-0.104149	0	0	0.3308	105761.6055
15.3412	8.2815	-2.289	1.230457	0	0.049037	-1.635919	-0.104524	0	0	0.3281	78664.4138
17.8802	7.6743	-2.191	1.265551	0	0.04829	-2.006028	-0.104918	0	0	0.3259	56877.8154
20.2971	7.0963	-2.114	1.29598	0	0.047727	-2.423208	-0.105185	0	0	0.324	39814.6182
22.5753	6.5516	-2.07	1.321342	0	0.04767	-2.886691	-0.105202	0	0	0.3224	26838.2902
24.6993	6.0436	-2.076	1.340662	0	0.048505	-3.391284	-0.104816	0	0	0.3209	17297.7209
26.6546	5.5761	-2.151	1.352139	0	0.050715	-3.924322	-0.10377	0	0	0.3194	10556.8645
28.4278	5.152	-2.326	1.352701	0	0.054883	-4.460802	-0.101624	0	0	0.3177	6018.6337
30.0069	4.7744	-2.639	1.337369	0	0.061581	-4.956481	-0.097621	0	0	0.3156	3142.9139
31.3809	4.4459	-3.13	1.298445	0	0.070964	-5.339182	-0.090534	0	0	0.3124	1459.0847
32.5406	4.1686	-3.83	1.225074	0	0.081976	-5.503652	-0.078765	0	0	0.3071	573.8634
33.478	3.9444	-4.736	1.104337	0	0.09146	-5.323352	-0.061393	0	0	0.2985	175.4987
34.1867	3.7749	-5.815	0.925208	0	0.0942	-4.710091	-0.041339	0	0	0.2876	34.876
34.6619	3.6613	-7.013	0.685524	0	0.08432	-3.781817	-0.03349	0	0	0.2913	2.6683
34.9003	3.6043	-8.257	0.41225	0	0.05982	-2.59132	0.000014	0	0	0.2466	0
											
											
Main Wing Cp Coefficients											
Panel	CtrlPt.x	CtrlPt.y	CtrlPt.z	Nx	Ny	Nz	Area	Cp			
Main WingCp Coefficients											
Strip 1											
13	2.17E+01	-3.49E+01	1.28E+00	-0.128	-0.072	-0.989	6.31E-03	-1.285			
14	2.16E+01	-3.49E+01	1.29E+00	-0.109	-0.067	-0.992	1.85E-02	-1.3365			
15	2.14E+01	-3.49E+01	1.30E+00	0.009	-0.032	-0.999	2.95E-02	-1.2058			
16	2.11E+01	-3.49E+01	1.29E+00	0.073	-0.012	-0.997	3.89E-02	-0.9141			
17	2.08E+01	-3.49E+01	1.26E+00	0.113	0.001	-0.994	4.63E-02	-0.6096			
18	2.04E+01	-3.49E+01	1.21E+00	0.12	0.004	-0.993	5.08E-02	-0.3956			
19	2.00E+01	-3.49E+01	1.16E+00	0.099	-0.005	-0.995	5.22E-02	-0.27			
20	1.95E+01	-3.49E+01	1.13E+00	0.049	-0.026	-0.998	5.05E-02	-0.1896			
21	1.91E+01	-3.49E+01	1.12E+00	-0.012	-0.053	-0.999	4.60E-02	-0.1201			
22	1.88E+01	-3.49E+01	1.14E+00	-0.072	-0.08	-0.994	3.90E-02	-0.0405			
23	1.85E+01	-3.49E+01	1.16E+00	-0.141	-0.114	-0.983	2.99E-02	0.0897			
24	1.83E+01	-3.49E+01	1.21E+00	-0.285	-0.185	-0.941	1.94E-02	0.339			
25	1.82E+01	-3.49E+01	1.25E+00	-0.656	-0.366	-0.66	9.30E-03	0.3281			
26	1.82E+01	-3.49E+01	1.33E+00	-0.797	-0.398	0.454	1.43E-02	-1.5112			
27	1.83E+01	-3.49E+01	1.42E+00	-0.484	-0.225	0.846	2.20E-02	-1.6793			
28	1.85E+01	-3.49E+01	1.51E+00	-0.32	-0.139	0.937	3.16E-02	-1.1523			
29	1.88E+01	-3.49E+01	1.58E+00	-0.206	-0.083	0.975	3.99E-02	-0.9414			
30	1.91E+01	-3.49E+01	1.64E+00	-0.101	-0.033	0.994	4.62E-02	-0.8285			
31	1.95E+01	-3.49E+01	1.66E+00	0.003	0.013	1	5.03E-02	-0.721			
32	2.00E+01	-3.49E+01	1.63E+00	0.097	0.052	0.994	5.21E-02	-0.6119			
33	2.04E+01	-3.49E+01	1.58E+00	0.163	0.077	0.984	5.11E-02	-0.5669			
34	2.08E+01	-3.49E+01	1.50E+00	0.204	0.092	0.975	4.70E-02	-0.6641			
35	2.11E+01	-3.49E+01	1.43E+00	0.222	0.098	0.97	3.99E-02	-0.9428			
36	2.14E+01	-3.49E+01	1.36E+00	0.226	0.099	0.969	3.03E-02	-1.3181			
37	2.16E+01	-3.49E+01	1.31E+00	0.24	0.103	0.965	1.90E-02	-1.4752			
38	2.17E+01	-3.49E+01	1.29E+00	0.243	0.104	0.964	6.46E-03	-1.5016			
Strip 2											
39	2.17E+01	-3.46E+01	1.27E+00	-0.128	-0.072	-0.989	1.92E-02	-0.5258			
40	2.16E+01	-3.46E+01	1.29E+00	-0.109	-0.067	-0.992	5.63E-02	-0.5104			
